PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle
YER036C,ARB1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3168.5,7693.0,,0.41186793188613025,6346.25,4291.5
YER036C,ARB1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,26297.75,3487.75,,7.540032972546771,6346.25,4291.5
YER036C,ARB1,S.mikatae,A,No,Smik_6.409,,,6436.5,,,6436.5,6346.25,4291.5
YER036C,ARB1,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,4291.5,4291.5,4291.5,1.0,6346.25,4291.5
YER036C,ARB1,S.kudriavzevii,A,No,Skud_16.75,,,7048.25,,,7048.25,6346.25,4291.5
YER036C,ARB1,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,7147.5,1.0,6346.25,4291.5
YER036C,ARB1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4457.25,20020.25,,0.222637079956544,6346.25,4291.5
YER036C,ARB1,C.glabrata,B,No,,CAGL0H03553g,,,3641.25,,0.0002746309646412633,6346.25,4291.5
YER036C,ARB1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,7218.5,7344.5,,0.9828443052624413,6346.25,4291.5
YER036C,ARB1,S.cerevisiae,A,No,YPL204W,,,6347.25,,,6347.25,6346.25,4291.5
YIL062C,ARC15,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,24904.0,52055.25,,0.4784147612392602,26575.0,5235.25
YIL062C,ARC15,S.mikatae,A,No,Smik_6.409,,,26899.0,,,26899.0,26575.0,5235.25
YIL062C,ARC15,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3960.5,47960.75,,0.08257794133744781,26575.0,5235.25
YIL062C,ARC15,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,4066.0,29127.0,,0.1395955642530985,26575.0,5235.25
YIL062C,ARC15,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,62.5,52015.75,,0.001201559143144144,26575.0,5235.25
YIL062C,ARC15,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,50826.75,9424.0,,5.393330857385399,26575.0,5235.25
YIL062C,ARC15,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,25074.5,1.0,26575.0,5235.25
YIL062C,ARC15,S.cerevisiae,A,No,YPL204W,,,26576.0,,,26576.0,26575.0,5235.25
YIL062C,ARC15,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,27323.0,6483.25,,4.214398642656075,26575.0,5235.25
YIL062C,ARC15,T.delbrueckii,Anc,No,,,TDEL0E05230,,,53715.0,1.0,26575.0,5235.25
YIL062C,ARC15,S.kudriavzevii,A,No,Skud_16.75,,,30776.75,,,30776.75,26575.0,5235.25
YIL062C,ARC15,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,61101.75,35995.5,,1.6974830187106722,26575.0,5235.25
YIL062C,ARC15,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,5235.25,5235.25,5235.25,1.0,26575.0,5235.25
YIL062C,ARC15,C.glabrata,B,No,,CAGL0H03553g,,,9149.0,,0.00010930156301235107,26575.0,5235.25
YIL062C,ARC15,S.bayanusvar.uvarum,A,No,Suva_16.102,,,48469.25,,,48469.25,26575.0,5235.25
YLR370C,ARC18,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,15915.75,1.0,7167.25,3321.5
YLR370C,ARC18,S.cerevisiae,A,No,YPL204W,,,7168.25,,,7168.25,7167.25,3321.5
YLR370C,ARC18,S.kudriavzevii,A,No,Skud_16.75,,,12284.75,,,12284.75,7167.25,3321.5
YLR370C,ARC18,S.bayanusvar.uvarum,A,No,Suva_16.102,,,25996.5,,,25996.5,7167.25,3321.5
YLR370C,ARC18,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,52570.25,15675.0,,3.353763955342903,7167.25,3321.5
YLR370C,ARC18,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,19448.25,3403.5,,5.71419127368885,7167.25,3321.5
YLR370C,ARC18,N.castellii,AB,A,,NCAS0D03820,,,21615.0,,4.626416840157298e-05,7167.25,3321.5
YLR370C,ARC18,S.mikatae,A,A,Smik_6.409,,,9989.25,,,9989.25,7167.25,3321.5
YLR370C,ARC18,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,9421.5,40857.25,,0.23059554913754596,7167.25,3321.5
YLR370C,ARC18,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,3686.5,43579.5,,0.08459252630250462,7167.25,3321.5
YLR370C,ARC18,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1440.0,37642.0,,0.038255140534509326,7167.25,3321.5
YLR370C,ARC18,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,42663.75,659.5,,64.69105382865807,7167.25,3321.5
YLR370C,ARC18,T.delbrueckii,Anc,No,,,TDEL0E05230,,,43684.75,1.0,7167.25,3321.5
YLR370C,ARC18,C.glabrata,B,No,,CAGL0H03553g,,,1095.5,,0.0009128251939753537,7167.25,3321.5
YLR370C,ARC18,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,3321.5,3321.5,3321.5,1.0,7167.25,3321.5
YKL013C,ARC19,S.mikatae,A,No,Smik_6.409,,,5643.0,,,5643.0,NA,NA
YKL013C,ARC19,T.blattae,AB,A,,TBLA0B05310,,,22019.0,,4.541532313002407e-05,NA,NA
YKL013C,ARC19,N.dairenensis,AB,A,,NDAI0I01070,,,20693.5,,4.832435305772344e-05,NA,NA
YNR035C,ARC35,V.polyspora,AB,B,Kpol_1002.53,,,8791.5,,,8791.5,3946.0,NA
YNR035C,ARC35,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,8046.5,22254.25,,0.3615713852410214,3946.0,NA
YNR035C,ARC35,N.castellii,AB,A,,NCAS0D03820,,,11399.5,,8.772314575200667e-05,3946.0,NA
YNR035C,ARC35,T.phaffii,AB,B,TPHA0E02830,,,26463.0,,,26463.0,3946.0,NA
YNR035C,ARC35,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,8250.0,1.0,3946.0,NA
YNR035C,ARC35,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,2214.5,30454.5,,0.07271503390303567,3946.0,NA
YNR035C,ARC35,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,42865.0,6263.0,,6.844164138591729,3946.0,NA
YNR035C,ARC35,T.delbrueckii,Anc,No,,,TDEL0E05230,,,31086.25,1.0,3946.0,NA
YNR035C,ARC35,S.cerevisiae,A,No,YPL204W,,,3947.0,,,3947.0,3946.0,NA
YNR035C,ARC35,S.mikatae,A,No,Smik_6.409,,,5355.5,,,5355.5,3946.0,NA
YNR035C,ARC35,S.bayanusvar.uvarum,A,No,Suva_16.102,,,10586.0,,,10586.0,3946.0,NA
YNR035C,ARC35,N.dairenensis,AB,A,,NDAI0I01070,,,21518.5,,4.647164068127425e-05,3946.0,NA
YNR035C,ARC35,S.kudriavzevii,A,A,Skud_16.75,,,4072.5,,,4072.5,3946.0,NA
YBR234C,ARC40,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,64460.0,22898.75,,2.815000818821988,50727.75,5616.25
YBR234C,ARC40,Z.rouxii,Anc,No,,,ZYRO0G08866g,,,55614.0,1.0,50727.75,5616.25
YBR234C,ARC40,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,95344.5,59490.25,,1.6026911972970361,50727.75,5616.25
YBR234C,ARC40,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,86745.25,42196.25,,2.0557573244067897,50727.75,5616.25
YBR234C,ARC40,S.cerevisiae,A,No,YPL204W,,,50728.75,,,50728.75,50727.75,5616.25
YBR234C,ARC40,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,1317.25,79299.0,,0.016611180468858372,50727.75,5616.25
YBR234C,ARC40,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,39590.5,80414.25,,0.4923318939118378,50727.75,5616.25
YBR234C,ARC40,S.bayanusvar.uvarum,A,No,Suva_16.102,,,79289.25,,,79289.25,50727.75,5616.25
YBR234C,ARC40,T.delbrueckii,Anc,No,,,TDEL0E05230,,,83836.25,1.0,50727.75,5616.25
YBR234C,ARC40,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,2017.25,63317.0,,0.03185953219514506,50727.75,5616.25
YBR234C,ARC40,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,2081.25,92483.5,,0.022504014229565272,50727.75,5616.25
YBR234C,ARC40,C.glabrata,B,No,,CAGL0H03553g,,,20242.75,,4.94004026132813e-05,50727.75,5616.25
YBR234C,ARC40,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,5616.25,5616.25,5616.25,1.0,50727.75,5616.25
YBR234C,ARC40,S.kudriavzevii,A,No,Skud_16.75,,,55696.25,,,55696.25,50727.75,5616.25
YBR234C,ARC40,S.mikatae,A,No,Smik_6.409,,,51317.0,,,51317.0,50727.75,5616.25
YJL060W,BNA3,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,30723.75,12303.0,,2.4972567666422822,8367.5,2312.75
YJL060W,BNA3,Vehicle,Vehicle,No,Vehicle,Vehicle,Vehicle,2312.75,2312.75,2312.75,1.0,8367.5,2312.75
YJL060W,BNA3,S.mikatae,A,No,Smik_6.409,,,7075.75,,,7075.75,8367.5,2312.75
YJL060W,BNA3,S.bayanusvar.uvarum,A,No,Suva_16.102,,,9572.5,,,9572.5,8367.5,2312.75
YJL060W,BNA3,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,4680.5,24183.0,,0.1935450523094736,8367.5,2312.75
YJL060W,BNA3,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,18572.25,13371.5,,1.388942900946042,8367.5,2312.75
YJL060W,BNA3,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,1.0,6445.75,,0.00015514098436954582,8367.5,2312.75
YJL060W,BNA3,S.cerevisiae,A,No,YPL204W,,,8368.5,,,8368.5,8367.5,2312.75
