Miniarray.ORF,Construct_ID,mean,sd,N,Construct,GeneID,MSA_order,Phylo_order,Array_order,Species,Gene,Pos,Species_position,Miniarray.Gene,Protein.Removed
ADE16,pKB11.20.YLR028C,15530.5,916.4103884,2,pKB11,20,12,16,62,T.phaffii,TPHA0E02830,A,V.polyspora(B),YLR028C,0
ADE16,pKB11.12.YLR028C,14617.75,2156.322129,2,pKB11,12,6,21,62,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YLR028C,0
ADE16,pKB11.19.YLR028C,11904,1284.105915,2,pKB11,19,10,9,62,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YLR028C,0
ADE16,pKB11.7.YLR028C,5486,338.7041482,2,pKB11,7,3,4,62,S.mikatae,Smik_6.409,A,T.blattae(A),YLR028C,0
ADE16,pKB11.4.YLR028C,3683.75,19.44543648,2,pKB11,4,2,3,62,S.kudriavzevii,Skud_16.75,A,K.africana(A),YLR028C,0
ADE16,pKB11.1.YLR028C,6544,884.5905833,2,pKB11,1,1,2,62,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YLR028C,0
ADE16,pKB11.6.YLR028C,14162.25,961.311669,2,pKB11,6,13,19,62,T.blattae,TBLA0B05310,B,T.phaffii(B),YLR028C,0
ADE16,pKB11.14.YLR028C,6174.75,7712.060109,2,pKB11,14,14,14,62,V.polyspora,Kpol_1002.53,A,N.castellii(A),YLR028C,0
ADE16,pKB11.16.YLR028C,586,738.2194796,2,pKB11,16,11,15,62,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YLR028C,0
ADE16,pKB11.11.YLR028C,21369.75,5759.031179,2,pKB11,11,9,13,62,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YLR028C,0
ADE16,pKB11.15.YLR028C,5843,NA,1,pKB11,15,8,7,62,N.castellii,NCAS0D03820,B,T.blattae(B),YLR028C,0
ADE16,pKB11.10.YLR028C,261.25,281.7820523,2,pKB11,10,7,5,62,C.glabrata,CAGL0H03553g,B,S.kudriavzevii(A),YLR028C,0
ADE16,pKB11.26.YLR028C,3466.5,NA,1,pKB11,26,26,26,62,Vehicle,Vehicle,,Vehicle,YLR028C,0
ADE16,pKB11.24.YLR028C,3955,NA,1,pKB11,24,24,25,62,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YLR028C,0
ADE16,pKB11.2.YLR028C,16530.75,1155.058927,2,pKB11,2,16,10,62,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YLR028C,0
ADE16,pKB11.13.YLR028C,766.5,NA,1,pKB11,13,18,6,62,N.castellii,NCAS0A01090,A,K.africana(B),YLR028C,0
ADE16,pKB11.25.YLR028C,4050,1346.331311,2,pKB11,25,4,1,62,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YLR028C,0
ADE16,pKB11.3.YLR028C,3405.5,NA,1,pKB11,3,25,18,62,T.blattae,TBLA0A02040,A,N.dairenensis(A),YLR028C,0
ADE16,pKB11.23.YLR028C,3976,NA,1,pKB11,23,23,24,62,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YLR028C,0
ADE16,pKB11.18.YLR028C,6562,1417.041989,2,pKB11,18,20,17,62,T.phaffii,TPHA0J02370,B,N.castellii(B),YLR028C,0
ADE16,pKB11.21.YLR028C,20545.5,1476.438959,2,pKB11,21,21,22,62,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YLR028C,0
ADE16,pKB11.8.YLR028C,4199,NA,1,pKB11,8,17,12,62,K.naganishii,KNAG0D01130,A,K.naganishii(B),YLR028C,0
ADE16,pKB11.9.YLR028C,4844.5,NA,1,pKB11,9,5,20,62,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YLR028C,0
ADE17,pKB11.11.YMR120C,119829,19349.97707,2,pKB11,11,9,13,63,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YMR120C,0
ADE17,pKB11.21.YMR120C,115961.75,15171.32954,2,pKB11,21,21,22,63,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YMR120C,0
ADE17,pKB11.22.YMR120C,1517.75,1969.645939,2,pKB11,22,22,23,63,H. sapiens,CSNK1A1,,H. sapiens(CSNK1A1),YMR120C,0
ADE17,pKB11.5.YMR120C,109247.5,14039.60514,2,pKB11,5,15,11,63,K.africana,KAFR0C02290,B,C.glabrata(B),YMR120C,0
ADE17,pKB11.4.YMR120C,85090.5,4605.386466,2,pKB11,4,2,3,63,S.kudriavzevii,Skud_16.75,A,K.africana(A),YMR120C,0
ADE17,pKB11.2.YMR120C,133317,8941.365248,2,pKB11,2,16,10,63,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YMR120C,0
ADE17,pKB11.14.YMR120C,101763.5,8735.597175,2,pKB11,14,14,14,63,V.polyspora,Kpol_1002.53,A,N.castellii(A),YMR120C,0
ADE17,pKB11.25.YMR120C,87078,8571.548402,2,pKB11,25,4,1,63,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YMR120C,0
ADE17,pKB11.12.YMR120C,123091.25,17713.37842,2,pKB11,12,6,21,63,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YMR120C,0
ADE17,pKB11.15.YMR120C,97488,12415.38086,2,pKB11,15,8,7,63,N.castellii,NCAS0D03820,B,T.blattae(B),YMR120C,0
ADE17,pKB11.19.YMR120C,119523.5,8010.105617,2,pKB11,19,10,9,63,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YMR120C,0
ADE17,pKB11.23.YMR120C,90357,9364.215103,2,pKB11,23,23,24,63,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YMR120C,0
ADE17,pKB11.10.YMR120C,63523.75,2022.678948,2,pKB11,10,7,5,63,C.glabrata,CAGL0H03553g,B,S.kudriavzevii(A),YMR120C,0
ADE17,pKB11.24.YMR120C,68859.5,6768.42611,2,pKB11,24,24,25,63,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YMR120C,0
ADE17,pKB11.1.YMR120C,111913.5,2270.519874,2,pKB11,1,1,2,63,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YMR120C,0
ADE17,pKB11.18.YMR120C,110381.5,16658.02155,2,pKB11,18,20,17,63,T.phaffii,TPHA0J02370,B,N.castellii(B),YMR120C,0
ADE17,pKB11.9.YMR120C,84828.5,3875.652268,2,pKB11,9,5,20,63,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YMR120C,0
ADE17,pKB11.17.YMR120C,25394.75,1021.415745,2,pKB11,17,19,8,63,N.dairenensis,NDAI0F01640,A,S.mikatae(A),YMR120C,0
ADE17,pKB11.8.YMR120C,55045,8919.444938,2,pKB11,8,17,12,63,K.naganishii,KNAG0D01130,A,K.naganishii(B),YMR120C,0
ADE17,pKB11.6.YMR120C,133691,8522.758034,2,pKB11,6,13,19,63,T.blattae,TBLA0B05310,B,T.phaffii(B),YMR120C,0
ADE17,pKB11.7.YMR120C,84481.25,6521.999396,2,pKB11,7,3,4,63,S.mikatae,Smik_6.409,A,T.blattae(A),YMR120C,0
ADE17,pKB11.3.YMR120C,9658.5,24.74873734,2,pKB11,3,25,18,63,T.blattae,TBLA0A02040,A,N.dairenensis(A),YMR120C,0
ADE17,pKB11.26.YMR120C,5782,5604.528348,2,pKB11,26,26,26,63,Vehicle,Vehicle,,Vehicle,YMR120C,0
ADE17,pKB11.20.YMR120C,121966.25,8550.688751,2,pKB11,20,12,16,63,T.phaffii,TPHA0E02830,A,V.polyspora(B),YMR120C,0
ADE17,pKB11.16.YMR120C,63637.75,4669.37963,2,pKB11,16,11,15,63,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YMR120C,0
ADE4,pKB11.23.YMR300C,14641,5092.583038,2,pKB11,23,23,24,64,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YMR300C,0
ADE4,pKB11.21.YMR300C,46150.25,5640.23724,2,pKB11,21,21,22,64,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YMR300C,0
ADE4,pKB11.3.YMR300C,5338.5,NA,1,pKB11,3,25,18,64,T.blattae,TBLA0A02040,A,N.dairenensis(A),YMR300C,0
ADE4,pKB11.20.YMR300C,33786.75,749.8867414,2,pKB11,20,12,16,64,T.phaffii,TPHA0E02830,A,V.polyspora(B),YMR300C,0
ADE4,pKB11.14.YMR300C,12287.75,2811.810115,2,pKB11,14,14,14,64,V.polyspora,Kpol_1002.53,A,N.castellii(A),YMR300C,0
ADE4,pKB11.9.YMR300C,6641.25,7045.258414,2,pKB11,9,5,20,64,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YMR300C,0
ADE4,pKB11.19.YMR300C,35569.5,1420.577523,2,pKB11,19,10,9,64,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YMR300C,0
ADE4,pKB11.22.YMR300C,0,NA,1,pKB11,22,22,23,64,H. sapiens,CSNK1A1,,H. sapiens(CSNK1A1),YMR300C,0
ADE4,pKB11.18.YMR300C,12588.75,3221.224942,2,pKB11,18,20,17,64,T.phaffii,TPHA0J02370,B,N.castellii(B),YMR300C,0
ADE4,pKB11.12.YMR300C,39564.5,2291.025971,2,pKB11,12,6,21,64,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YMR300C,0
ADE4,pKB11.2.YMR300C,54317.75,6063.794202,2,pKB11,2,16,10,64,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YMR300C,0
ADE4,pKB11.5.YMR300C,17896.25,9577.407798,2,pKB11,5,15,11,64,K.africana,KAFR0C02290,B,C.glabrata(B),YMR300C,0
ADE4,pKB11.15.YMR300C,11850.5,2177.888886,2,pKB11,15,8,7,64,N.castellii,NCAS0D03820,B,T.blattae(B),YMR300C,0
ADE4,pKB11.10.YMR300C,0,NA,1,pKB11,10,7,5,64,C.glabrata,CAGL0H03553g,B,S.kudriavzevii(A),YMR300C,0
ADE4,pKB11.24.YMR300C,2139.25,2829.487785,2,pKB11,24,24,25,64,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YMR300C,0
ADE4,pKB11.16.YMR300C,7547.25,1659.226062,2,pKB11,16,11,15,64,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YMR300C,0
ADE4,pKB11.11.YMR300C,33053.5,4650.6413,2,pKB11,11,9,13,64,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YMR300C,0
ADE4,pKB11.4.YMR300C,7354,NA,1,pKB11,4,2,3,64,S.kudriavzevii,Skud_16.75,A,K.africana(A),YMR300C,0
ADE4,pKB11.13.YMR300C,264.5,NA,1,pKB11,13,18,6,64,N.castellii,NCAS0A01090,A,K.africana(B),YMR300C,0
ADE4,pKB11.25.YMR300C,5494,1887.267999,2,pKB11,25,4,1,64,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YMR300C,0
ADE4,pKB11.6.YMR300C,43524.5,2033.639103,2,pKB11,6,13,19,64,T.blattae,TBLA0B05310,B,T.phaffii(B),YMR300C,0
ADE4,pKB11.7.YMR300C,8667,138.5929291,2,pKB11,7,3,4,64,S.mikatae,Smik_6.409,A,T.blattae(A),YMR300C,0
ADE4,pKB11.17.YMR300C,0,NA,1,pKB11,17,19,8,64,N.dairenensis,NDAI0F01640,A,S.mikatae(A),YMR300C,0
ADE4,pKB11.1.YMR300C,12797,304.7630227,2,pKB11,1,1,2,64,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YMR300C,0
ADE4,pKB11.8.YMR300C,7524.5,NA,1,pKB11,8,17,12,64,K.naganishii,KNAG0D01130,A,K.naganishii(B),YMR300C,0
ADE6,pKB11.10.YGR061C,5042,NA,1,pKB11,10,7,5,65,C.glabrata,CAGL0H03553g,B,S.kudriavzevii(A),YGR061C,0
ADE6,pKB11.22.YGR061C,3811.25,109.2479977,2,pKB11,22,22,23,65,H. sapiens,CSNK1A1,,H. sapiens(CSNK1A1),YGR061C,0
ADE6,pKB11.17.YGR061C,3813.25,223.0921895,2,pKB11,17,19,8,65,N.dairenensis,NDAI0F01640,A,S.mikatae(A),YGR061C,0
ADE6,pKB11.25.YGR061C,13216.5,1908.481202,2,pKB11,25,4,1,65,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YGR061C,0
ADE6,pKB11.5.YGR061C,20110,5487.148622,2,pKB11,5,15,11,65,K.africana,KAFR0C02290,B,C.glabrata(B),YGR061C,0
ADE6,pKB11.15.YGR061C,10593.5,1245.922148,2,pKB11,15,8,7,65,N.castellii,NCAS0D03820,B,T.blattae(B),YGR061C,0
ADE6,pKB11.6.YGR061C,33714.25,1761.756545,2,pKB11,6,13,19,65,T.blattae,TBLA0B05310,B,T.phaffii(B),YGR061C,0
ADE6,pKB11.9.YGR061C,9864.25,1986.616502,2,pKB11,9,5,20,65,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YGR061C,0
ADE6,pKB11.26.YGR061C,4892.25,481.1861646,2,pKB11,26,26,26,65,Vehicle,Vehicle,,Vehicle,YGR061C,0
ADE6,pKB11.16.YGR061C,7483.75,1743.371769,2,pKB11,16,11,15,65,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YGR061C,0
ADE6,pKB11.8.YGR061C,5851.25,1377.797563,2,pKB11,8,17,12,65,K.naganishii,KNAG0D01130,A,K.naganishii(B),YGR061C,0
ADE6,pKB11.18.YGR061C,23850.75,4625.539009,2,pKB11,18,20,17,65,T.phaffii,TPHA0J02370,B,N.castellii(B),YGR061C,0
ADE6,pKB11.7.YGR061C,10264.75,1447.801134,2,pKB11,7,3,4,65,S.mikatae,Smik_6.409,A,T.blattae(A),YGR061C,0
ADE6,pKB11.21.YGR061C,44305,3633.821749,2,pKB11,21,21,22,65,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YGR061C,0
ADE6,pKB11.19.YGR061C,22707.25,3644.074797,2,pKB11,19,10,9,65,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YGR061C,0
ADE6,pKB11.23.YGR061C,15083.5,1032.375901,2,pKB11,23,23,24,65,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YGR061C,0
ADE6,pKB11.2.YGR061C,39574.25,4464.318663,2,pKB11,2,16,10,65,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YGR061C,0
ADE6,pKB11.4.YGR061C,8953.5,538.8153673,2,pKB11,4,2,3,65,S.kudriavzevii,Skud_16.75,A,K.africana(A),YGR061C,0
ADE6,pKB11.12.YGR061C,30314,4234.862513,2,pKB11,12,6,21,65,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YGR061C,0
ADE6,pKB11.3.YGR061C,5624.5,429.920923,2,pKB11,3,25,18,65,T.blattae,TBLA0A02040,A,N.dairenensis(A),YGR061C,0
ADE6,pKB11.20.YGR061C,33246.5,3018.638849,2,pKB11,20,12,16,65,T.phaffii,TPHA0E02830,A,V.polyspora(B),YGR061C,0
ADE6,pKB11.24.YGR061C,3424.75,41.3657467,2,pKB11,24,24,25,65,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YGR061C,0
ADE6,pKB11.11.YGR061C,30850.5,3729.281164,2,pKB11,11,9,13,65,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YGR061C,0
ADE6,pKB11.14.YGR061C,15818.5,1578.969442,2,pKB11,14,14,14,65,V.polyspora,Kpol_1002.53,A,N.castellii(A),YGR061C,0
ADE6,pKB11.1.YGR061C,20241.25,2508.461306,2,pKB11,1,1,2,65,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YGR061C,0
ADE6,pKB11.13.YGR061C,2265.5,3114.098264,2,pKB11,13,18,6,65,N.castellii,NCAS0A01090,A,K.africana(B),YGR061C,0
ADK1,pKB11.8.YDR226W,3150,3662.813127,2,pKB11,8,17,12,1,K.naganishii,KNAG0D01130,A,K.naganishii(B),YDR226W,0
ADK1,pKB11.7.YDR226W,5478.25,2919.997453,2,pKB11,7,3,4,1,S.mikatae,Smik_6.409,A,T.blattae(A),YDR226W,0
ADK1,pKB11.12.YDR226W,24516,5057.934806,2,pKB11,12,6,21,1,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YDR226W,0
ADK1,pKB11.15.YDR226W,7195.25,1415.274223,2,pKB11,15,8,7,1,N.castellii,NCAS0D03820,B,T.blattae(B),YDR226W,0
ADK1,pKB11.5.YDR226W,11288,1977.07056,2,pKB11,5,15,11,1,K.africana,KAFR0C02290,B,C.glabrata(B),YDR226W,0
ADK1,pKB11.1.YDR226W,10796.5,287.0853532,2,pKB11,1,1,2,1,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YDR226W,0
ADK1,pKB11.4.YDR226W,4971,5.656854249,2,pKB11,4,2,3,1,S.kudriavzevii,Skud_16.75,A,K.africana(A),YDR226W,0
ADK1,pKB11.21.YDR226W,35436.25,2987.172597,2,pKB11,21,21,22,1,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YDR226W,0
ADK1,pKB11.25.YDR226W,3903.5,NA,1,pKB11,25,4,1,1,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YDR226W,0
ADK1,pKB11.18.YDR226W,6477.25,1073.741647,2,pKB11,18,20,17,1,T.phaffii,TPHA0J02370,B,N.castellii(B),YDR226W,0
ADK1,pKB11.9.YDR226W,3444,86.2670273,2,pKB11,9,5,20,1,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YDR226W,0
ADK1,pKB11.2.YDR226W,31274.25,813.5263518,2,pKB11,2,16,10,1,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YDR226W,0
ADK1,pKB11.20.YDR226W,19207.5,1715.441051,2,pKB11,20,12,16,1,T.phaffii,TPHA0E02830,A,V.polyspora(B),YDR226W,0
ADK1,pKB11.22.YDR226W,330.5,NA,1,pKB11,22,22,23,1,H. sapiens,CSNK1A1,,H. sapiens(CSNK1A1),YDR226W,0
ADK1,pKB11.26.YDR226W,2208.5,3123.290653,2,pKB11,26,26,26,1,Vehicle,Vehicle,,Vehicle,YDR226W,0
ADK1,pKB11.14.YDR226W,8790.75,6496.543552,2,pKB11,14,14,14,1,V.polyspora,Kpol_1002.53,A,N.castellii(A),YDR226W,0
ADK1,pKB11.19.YDR226W,17792,476.5899705,2,pKB11,19,10,9,1,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YDR226W,0
ADK1,pKB11.16.YDR226W,2408.5,2659.428604,2,pKB11,16,11,15,1,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YDR226W,0
ADK1,pKB11.11.YDR226W,23263.5,5118.038882,2,pKB11,11,9,13,1,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YDR226W,0
ADK1,pKB11.6.YDR226W,23489,1767.766953,2,pKB11,6,13,19,1,T.blattae,TBLA0B05310,B,T.phaffii(B),YDR226W,0
ADK1,pKB11.13.YDR226W,3764.5,NA,1,pKB11,13,18,6,1,N.castellii,NCAS0A01090,A,K.africana(B),YDR226W,0
ADK1,pKB11.23.YDR226W,3856,NA,1,pKB11,23,23,24,1,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YDR226W,0
AIM21,pKB11.9.YIR003W,1741.75,2292.793738,2,pKB11,9,5,20,24,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YIR003W,0
AIM21,pKB11.25.YIR003W,5863,2105.763994,2,pKB11,25,4,1,24,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YIR003W,0
AIM21,pKB11.8.YIR003W,3807.5,NA,1,pKB11,8,17,12,24,K.naganishii,KNAG0D01130,A,K.naganishii(B),YIR003W,0
AIM21,pKB11.11.YIR003W,8017,738.2194796,2,pKB11,11,9,13,24,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YIR003W,0
AIM21,pKB11.10.YIR003W,576.5,NA,1,pKB11,10,7,5,24,C.glabrata,CAGL0H03553g,B,S.kudriavzevii(A),YIR003W,0
AIM21,pKB11.21.YIR003W,7244.5,NA,1,pKB11,21,21,22,24,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YIR003W,0
AIM21,pKB11.15.YIR003W,4503,NA,1,pKB11,15,8,7,24,N.castellii,NCAS0D03820,B,T.blattae(B),YIR003W,0
AIM21,pKB11.16.YIR003W,7689,4074.349273,2,pKB11,16,11,15,24,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YIR003W,0
AIM21,pKB11.12.YIR003W,7643.5,2076.06551,2,pKB11,12,6,21,24,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YIR003W,0
AIM21,pKB11.6.YIR003W,10576.75,264.8114896,2,pKB11,6,13,19,24,T.blattae,TBLA0B05310,B,T.phaffii(B),YIR003W,0
AIM21,pKB11.18.YIR003W,683.5,NA,1,pKB11,18,20,17,24,T.phaffii,TPHA0J02370,B,N.castellii(B),YIR003W,0
AIM21,pKB11.19.YIR003W,10893.5,229.1025971,2,pKB11,19,10,9,24,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YIR003W,0
AIM21,pKB11.22.YIR003W,773.75,1094.247744,2,pKB11,22,22,23,24,H. sapiens,CSNK1A1,,H. sapiens(CSNK1A1),YIR003W,0
AIM21,pKB11.14.YIR003W,4742.5,NA,1,pKB11,14,14,14,24,V.polyspora,Kpol_1002.53,A,N.castellii(A),YIR003W,0
AIM21,pKB11.5.YIR003W,24113.5,1226.830265,2,pKB11,5,15,11,24,K.africana,KAFR0C02290,B,C.glabrata(B),YIR003W,0
AIM21,pKB11.17.YIR003W,797.5,NA,1,pKB11,17,19,8,24,N.dairenensis,NDAI0F01640,A,S.mikatae(A),YIR003W,0
AIM21,pKB11.1.YIR003W,6121.75,3337.897561,2,pKB11,1,1,2,24,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YIR003W,0
AIM21,pKB11.24.YIR003W,0,NA,1,pKB11,24,24,25,24,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YIR003W,0
AIM21,pKB11.7.YIR003W,2106.5,2979.040869,2,pKB11,7,3,4,24,S.mikatae,Smik_6.409,A,T.blattae(A),YIR003W,0
AIM21,pKB11.20.YIR003W,10194.75,3354.868123,2,pKB11,20,12,16,24,T.phaffii,TPHA0E02830,A,V.polyspora(B),YIR003W,0
AIM21,pKB11.2.YIR003W,10143.5,1504.72323,2,pKB11,2,16,10,24,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YIR003W,0
AKR1,pKB11.23.YDR264C,3543,490.7321061,2,pKB11,23,23,24,17,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YDR264C,0
AKR1,pKB11.11.YDR264C,4137.75,583.0095411,2,pKB11,11,9,13,17,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YDR264C,0
AKR1,pKB11.24.YDR264C,4294.75,111.369318,2,pKB11,24,24,25,17,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YDR264C,0
AKR1,pKB11.6.YDR264C,4650.5,499.9244943,2,pKB11,6,13,19,17,T.blattae,TBLA0B05310,B,T.phaffii(B),YDR264C,0
AKR1,pKB11.17.YDR264C,3696.5,NA,1,pKB11,17,19,8,17,N.dairenensis,NDAI0F01640,A,S.mikatae(A),YDR264C,0
