,ID,Description,geneID,T.delbrueckii.Anc,V.polyspora.A,V.polyspora.B,S.bayanusvar.uvarum.A,S.mikatae.A,S.kudriavzevii.A,K.africana.A,K.africana.B,T.blattae.A,T.blattae.B,N.dairenensis.A,N.dairenensis.B,N.castellii.A,N.castellii.B,K.naganishii.A,K.naganishii.B,Z.rouxii.Anc,C.glabrata.B,T.phaffii.A,T.phaffii.B,S.cerevisiae.A
11,GO:0005794,Golgi apparatus,CHC1/COG1/COG3/COG4/COG6/KES1/RET2/SEC26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019687735,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,GO:0005798,Golgi-associated vesicle,CHC1/RET2/SEC26,NA,NA,NA,NA,NA,NA,NA,0.030429036,NA,NA,NA,0.019687735,NA,NA,NA,NA,NA,NA,0.047842584,NA,NA
13,GO:0005844,polysome,NAM7/SSA1/SSB1,NA,NA,NA,NA,NA,NA,NA,0.024053043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,GO:0005844,polysome,SSA1/SSB1,NA,NA,NA,NA,0.044649187,0.028103104,NA,NA,0.003573078,NA,0.007251864,NA,NA,0.038800838,0.020839795,NA,NA,0.01993823,NA,NA,0.031902823
15,GO:0005856,cytoskeleton,AIM21/ARC15/ARC18/ARC35/ARC40/CDC11/CHC1/END3/HRR25/LAS17/MYO5/NAP1/PAN1/SAC6/SHS1/SLA1/SLA2/SRV2/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,9.19E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,GO:0005856,cytoskeleton,AIM21/ARC15/ARC18/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13E-06,NA,NA
17,GO:0005856,cytoskeleton,AIM21/ARC15/ARC18/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,GO:0005856,cytoskeleton,AIM21/ARC15/ARC18/ARC40/CHC1/MYO2/PAN1/SAC6/SHS1/SLA1/SLA2/TPM2,NA,NA,NA,NA,NA,NA,NA,8.63E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,GO:0005856,cytoskeleton,ARC15/ARC18/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/NAP1/PAN1/SAC6/SHS1/SLA1/SLA2/SYP1/TPM2/VRP1,3.18E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,GO:0005856,cytoskeleton,ARC15/ARC18/ARC35/ARC40/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,GO:0005856,cytoskeleton,ARC15/ARC18/ARC35/ARC40/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83E-07,NA,NA,NA,NA,NA
22,GO:0005856,cytoskeleton,ARC15/ARC18/ARC35/ARC40/CHC1/END3/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1,NA,NA,NA,1.28E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,GO:0005856,cytoskeleton,ARC15/ARC18/ARC40/CHC1/END3/PAN1/SAC6/SLA1/SLA2/SYP1/TPM2,NA,6.47E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,GO:0005856,cytoskeleton,ARC15/ARC18/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92E-05,NA,NA,NA,NA
25,GO:0005856,cytoskeleton,ARC15/ARC18/ARC40/CHC1/PAN1/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,5.13E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,GO:0005856,cytoskeleton,ARC15/ARC40/CHC1/END3/PAN1/SLA2/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.87E-06,NA,NA,NA,NA,NA,NA
27,GO:0005856,cytoskeleton,ARC15/ARC40/CHC1/END3/SLA1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005272358,NA,NA,NA,NA,NA,NA,NA
28,GO:0005856,cytoskeleton,ARC15/ARC40/CHC1/PAN1/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000784953
29,GO:0005856,cytoskeleton,ARC15/ARC40/CHC1/SLA1/SLA2,NA,NA,NA,NA,0.040880433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,GO:0005856,cytoskeleton,ARC40/CHC1/PAN1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002692498,NA,NA,NA
31,GO:0005884,actin filament,MYO2/SAC6/TPM2,NA,NA,NA,NA,NA,NA,NA,0.001572283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,GO:0005884,actin filament,SAC6/TPM2,0.04560371,0.013554702,NA,0.015824704,NA,NA,NA,NA,NA,0.047922063,NA,NA,NA,NA,NA,0.04684581,NA,NA,0.045795928,NA,NA
33,GO:0005933,cellular bud,CAP2/MYO5/NAP1/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TCB3/TPM2/VRP1,0.000129836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,GO:0005933,cellular bud,CDC11/HRR25/MYO5/NAP1/PAN1/PEX30/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,3.59E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,GO:0005933,cellular bud,MYO2/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/TPM2,NA,NA,NA,NA,NA,NA,NA,0.006324434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,GO:0005933,cellular bud,MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000559865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,GO:0005933,cellular bud,MYO5/PAN1/SAC6/SLA1/SLA2/SMI1/SSD1/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002159653,NA,NA,NA,NA,NA
38,GO:0005933,cellular bud,PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001667684,NA,NA
39,GO:0005933,cellular bud,PAN1/SAC6/SHS1/SLA1/SLA2/TCB3/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029602572,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,GO:0005933,cellular bud,PAN1/SAC6/SLA1/SLA2/SMI1/SSD1/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001076453,NA,NA,NA,NA
41,GO:0005933,cellular bud,PAN1/SAC6/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2,NA,0.001319951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,GO:0005933,cellular bud,PAN1/SAC6/SLA1/SLA2/SSD1/TPM2/VRP1,NA,NA,NA,0.011377029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,GO:0005933,cellular bud,PAN1/SLA1/SLA2/SSD1/SYP1,NA,NA,NA,NA,NA,0.01537246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019467124
44,GO:0005933,cellular bud,PAN1/SLA2/SSD1/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006685138,NA,NA,NA,NA,NA,NA
45,GO:0005935,cellular bud neck,CDC11/HRR25/NAP1/PAN1/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,0.001177361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,GO:0005935,cellular bud neck,MYO2/PAN1/SHS1/SLA1/SLA2/SMI1/SSD1/TPM2,NA,NA,NA,NA,NA,NA,NA,0.006324434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,GO:0005935,cellular bud neck,NAP1/PAN1/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2/VRP1,0.004769539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,GO:0005935,cellular bud neck,PAN1/SHS1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007566276,NA,NA,NA,NA,NA,NA,NA,NA,0.005221189,NA,NA
49,GO:0005935,cellular bud neck,PAN1/SLA1/SLA2/SMI1/SSD1/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002209414,NA,NA,NA,NA
50,GO:0005935,cellular bud neck,PAN1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2,NA,0.001888907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,GO:0005935,cellular bud neck,PAN1/SLA1/SLA2/SMI1/SSD1/SYP1/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023281206,NA,NA,NA,NA,NA
52,GO:0005935,cellular bud neck,PAN1/SLA1/SLA2/SSD1/SYP1,NA,NA,NA,NA,NA,0.005914027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013136138
53,GO:0005935,cellular bud neck,PAN1/SLA1/SLA2/SSD1/TPM2/VRP1,NA,NA,NA,0.015824704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,GO:0005935,cellular bud neck,PAN1/SLA2/SSD1/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002510185,NA,NA,NA,NA,NA,NA
55,GO:0005935,cellular bud neck,PAN1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045540011,NA,NA,NA
56,GO:0005935,cellular bud neck,SLA1/SMI1/SSD1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047919606,NA,NA,NA,NA,NA,NA,NA
57,GO:0005937,mating projection,AIM21/CAR1/CDC11/END3/LAS17/MID2/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SRV2/SYP1/VRP1,NA,NA,NA,NA,NA,NA,4.20E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,GO:0005937,mating projection,AIM21/CAR1/END3/LAS17/MID2/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85E-08,NA,NA
59,GO:0005937,mating projection,AIM21/CAR1/MID2/MYO2/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1,NA,NA,NA,NA,NA,NA,NA,8.64E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,GO:0005937,mating projection,AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,GO:0005937,mating projection,CAP2/CAR1/END3/LAS17/MID2/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1,3.29E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,GO:0005937,mating projection,CAR1/END3/LAS17/MID2/MYO5/PAN1/SAC6/SHS1/SLA1/SLA2/SMI1/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,GO:0005937,mating projection,CAR1/END3/LAS17/MID2/MYO5/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31E-07,NA,NA,NA,NA,NA
64,GO:0005937,mating projection,END3/MID2/PAN1/SAC6/SFB3/SLA1/SLA2/VRP1,NA,NA,NA,2.28E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,GO:0005937,mating projection,END3/MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1,NA,1.44E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,GO:0005937,mating projection,END3/MID2/PAN1/SLA2/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21E-05,NA,NA,NA,NA,NA,NA
67,GO:0005937,mating projection,END3/MID2/SLA1/SMI1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001933267,NA,NA,NA,NA,NA,NA,NA
68,GO:0005937,mating projection,MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92E-05,NA,NA,NA,NA
69,GO:0005937,mating projection,MID2/PAN1/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,0.001013812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,GO:0005937,mating projection,MID2/SFB3/SLA1/SLA2,NA,NA,NA,NA,0.025884375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,GO:0005937,mating projection,PAN1/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013697298
72,GO:0005937,mating projection,PAN1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01993823,NA,NA,NA
73,GO:0005938,cell cortex,AIM21/ARC15/ARC35/ARC40/CDC11/CHC1/END3/LAS17/MYO5/NAP1/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/SRV2/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,2.40E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,GO:0005938,cell cortex,AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13E-09,NA,NA
75,GO:0005938,cell cortex,AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/TCB3/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,GO:0005938,cell cortex,AIM21/ARC15/ARC40/CHC1/PAN1/SAC6/SHS1/SLA1/SLA2/TPM2,NA,NA,NA,NA,NA,NA,NA,0.000123298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,GO:0005938,cell cortex,ARC15/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/NAP1/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/SYP1/TCB3/TPM2/VRP1,1.35E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,GO:0005938,cell cortex,ARC15/ARC35/ARC40/CHC1/END3/LAS17/MYO3/MYO5/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.84E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,GO:0005938,cell cortex,ARC15/ARC35/ARC40/CHC1/END3/LAS17/MYO3/MYO5/PAN1/RTN2/SAC6/SLA1/SLA2/SYP1/TCB3/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39E-10,NA,NA,NA,NA,NA
80,GO:0005938,cell cortex,ARC15/ARC35/ARC40/CHC1/END3/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1,NA,NA,NA,4.01E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,GO:0005938,cell cortex,ARC15/ARC40/CHC1/END3/PAN1/SAC6/SLA1/SLA2/SYP1/TPM2,NA,2.74E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,GO:0005938,cell cortex,ARC15/ARC40/CHC1/END3/PAN1/SLA2/SYP1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71E-07,NA,NA,NA,NA,NA,NA
83,GO:0005938,cell cortex,ARC15/ARC40/CHC1/END3/SLA1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00159219,NA,NA,NA,NA,NA,NA,NA
84,GO:0005938,cell cortex,ARC15/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92E-05,NA,NA,NA,NA
85,GO:0005938,cell cortex,ARC15/ARC40/CHC1/PAN1/SLA1/SLA2/SYP1,NA,NA,NA,NA,NA,5.21E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35E-05
86,GO:0005938,cell cortex,ARC15/ARC40/CHC1/SLA1/SLA2,NA,NA,NA,NA,0.021533279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,GO:0005938,cell cortex,ARC40/CHC1/PAN1/SLA2/SYP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000596825,NA,NA,NA
88,GO:0005940,septin ring,CDC11/SHS1/SYP1,NA,NA,NA,NA,NA,NA,0.034351052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,GO:0012506,vesicle membrane,AKR1/CHC1/END3/MEH1/PAN1/RET2/SEC26/SLA1,0.009772048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,GO:0012506,vesicle membrane,CHC1/END3/MEH1/PAN1/RET2/SEC26/SLA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014951635,NA,NA
91,GO:0012506,vesicle membrane,CHC1/END3/PAN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049844774,NA,NA,NA,NA,NA,NA
92,GO:0012506,vesicle membrane,CHC1/END3/PAN1/RET2/SEC26/SLA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013785685,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,GO:0012506,vesicle membrane,CHC1/END3/PAN1/SFB3/SLA1,NA,NA,NA,0.01922459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,GO:0012506,vesicle membrane,CHC1/MEH1/PAN1/RET2/SEC26/SLA1,NA,NA,NA,NA,NA,NA,NA,0.024053043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,GO:0015629,actin cytoskeleton,AIM21/ARC15/ARC18/ARC35/ARC40/CHC1/END3/LAS17/MYO5/PAN1/SAC6/SLA1/SLA2/SRV2/TPM2/VRP1,NA,NA,NA,NA,NA,NA,1.29E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,GO:0015629,actin cytoskeleton,AIM21/ARC15/ARC18/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05E-10,NA,NA
97,GO:0015629,actin cytoskeleton,AIM21/ARC15/ARC18/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,GO:0015629,actin cytoskeleton,AIM21/ARC15/ARC18/ARC40/CHC1/MYO2/PAN1/SAC6/SLA1/SLA2/TPM2,NA,NA,NA,NA,NA,NA,NA,5.31E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,GO:0015629,actin cytoskeleton,ARC15/ARC18/ARC35/ARC40/CAP2/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1,1.47E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,GO:0015629,actin cytoskeleton,ARC15/ARC18/ARC35/ARC40/CHC1/END3/LAS17/MYO3/MYO5/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61E-12,NA,NA,NA,NA,NA,1.98E-12,NA,NA,NA,NA,NA
101,GO:0015629,actin cytoskeleton,ARC15/ARC18/ARC35/ARC40/CHC1/END3/PAN1/SAC6/SLA1/SLA2/TPM2/VRP1,NA,NA,NA,1.33E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,GO:0015629,actin cytoskeleton,ARC15/ARC18/ARC40/CHC1/END3/PAN1/SAC6/SLA1/SLA2/TPM2,NA,3.93E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,GO:0015629,actin cytoskeleton,ARC15/ARC18/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62E-07,NA,NA,NA,NA
104,GO:0015629,actin cytoskeleton,ARC15/ARC18/ARC40/CHC1/PAN1/SLA1/SLA2,NA,NA,NA,NA,NA,8.09E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,GO:0015629,actin cytoskeleton,ARC15/ARC40/CHC1/END3/PAN1/SLA2/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45E-08,NA,NA,NA,NA,NA,NA
106,GO:0015629,actin cytoskeleton,ARC15/ARC40/CHC1/END3/SLA1/VRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40E-05,NA,NA,NA,NA,NA,NA,NA
107,GO:0015629,actin cytoskeleton,ARC15/ARC40/CHC1/PAN1/SLA1/SLA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52E-05
108,GO:0015629,actin cytoskeleton,ARC15/ARC40/CHC1/SLA1/SLA2,NA,NA,NA,NA,0.000876478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
