"","ID","Description","GeneRatio","BgRatio","pvalue","N.dairenensis.B","qvalue","geneID","Count"
"GO:0030427","GO:0030427","site of polarized growth","9/49","272/5283",0.000742511443255424,0.00489184009674161,0.00317233991236063,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0012506","GO:0012506","vesicle membrane","6/49","149/5283",0.00233864304307045,0.0137856853065206,0.00893996509539397,"CHC1/END3/PAN1/RET2/SEC26/SLA1",6
"GO:0030659","GO:0030659","cytoplasmic vesicle membrane","6/49","149/5283",0.00233864304307045,0.0137856853065206,0.00893996509539397,"CHC1/END3/PAN1/RET2/SEC26/SLA1",6
"GO:0030120","GO:0030120","vesicle coat","3/49","31/5283",0.00280848225954166,0.0157275006534333,0.0101992250478092,"CHC1/RET2/SEC26",3
"GO:0030117","GO:0030117","membrane coat","3/49","35/5283",0.00398441737573357,0.0196877352239579,0.0127674222786945,"CHC1/RET2/SEC26",3
"GO:0048475","GO:0048475","coated membrane","3/49","35/5283",0.00398441737573357,0.0196877352239579,0.0127674222786945,"CHC1/RET2/SEC26",3
"GO:0005794","GO:0005794","Golgi apparatus","8/49","285/5283",0.00423623413382355,0.0196877352239579,0.0127674222786945,"CHC1/COG1/COG3/COG4/COG6/KES1/RET2/SEC26",8
"GO:0005798","GO:0005798","Golgi-associated vesicle","3/49","36/5283",0.00431851005397327,0.0196877352239579,0.0127674222786945,"CHC1/RET2/SEC26",3
"GO:0030663","GO:0030663","COPI-coated vesicle membrane","2/49","11/5283",0.00439458375534775,0.0196877352239579,0.0127674222786945,"RET2/SEC26",2
"GO:0045121","GO:0045121","membrane raft","3/49","40/5283",0.00582269382521815,0.0241533966083123,0.0156633868982477,"RFS1/VAC8/VMA8",3
"GO:0098857","GO:0098857","membrane microdomain","3/49","40/5283",0.00582269382521815,0.0241533966083123,0.0156633868982477,"RFS1/VAC8/VMA8",3
"GO:0005933","GO:0005933","cellular bud","7/49","250/5283",0.00763945562786266,0.0296025715536112,0.0191971563646539,"PAN1/SAC6/SHS1/SLA1/SLA2/TCB3/VRP1",7
"GO:0030662","GO:0030662","coated vesicle membrane","3/49","45/5283",0.00809625491117328,0.0296025715536112,0.0191971563646539,"CHC1/RET2/SEC26",3
"GO:0016471","GO:0016471","vacuolar proton-transporting V-type ATPase complex","2/49","15/5283",0.00819356891216023,0.0296025715536112,0.0191971563646539,"VMA7/VMA8",2
"GO:0033176","GO:0033176","proton-transporting V-type ATPase complex","2/49","15/5283",0.00819356891216023,0.0296025715536112,0.0191971563646539,"VMA7/VMA8",2
"GO:0030135","GO:0030135","coated vesicle","4/49","97/5283",0.0120351319174231,0.0421229617109808,0.0273165823125721,"CHC1/RET2/SEC26/SLA2",4
"GO:0030137","GO:0030137","COPI-coated vesicle","2/49","20/5283",0.0143957592921695,0.0474213247271466,0.0307525508098977,"RET2/SEC26",2
"GO:0098797","GO:0098797","plasma membrane protein complex","2/49","20/5283",0.0143957592921695,0.0474213247271466,0.0307525508098977,"CHC1/GPA2",2
